Boys Participation,Boys School,Sheet Swap,Girls Participation,Girls School,Sport,State,Year
3688,272,Boys,2259,260,Golf,WA,2002/2003
0,0,Boys,1551,79,Gymnastics,WA,2002/2003
0,0,Boys,0,0,Heptathlon,WA,2002/2003
0,0,Boys,0,0,Ice Hockey,WA,2002/2003
0,0,Boys,0,0,Judo,WA,2002/2003
0,0,Boys,0,0,Lacrosse,WA,2002/2003
0,0,Boys,0,0,Native Youth Olympics,WA,2002/2003
0,0,Boys,0,0,Other 1:,WA,2002/2003
0,0,Boys,0,0,Other 2:,WA,2002/2003
0,0,Boys,0,0,Pentathlon,WA,2002/2003
0,0,Boys,0,0,Riflery,WA,2002/2003
0,0,Boys,0,0,Rodeo,WA,2002/2003
0,0,Boys,0,0,Rythmic Gymnastics,WA,2002/2003
0,0,Boys,0,0,Skiing -- Alpine,WA,2002/2003
0,0,Boys,0,0,Skiing -- Cross Country,WA,2002/2003
0,0,Boys,0,0,Snowboarding,WA,2002/2003
9212,260,Boys,8724,258,Soccer,WA,2002/2003
0,0,Boys,0,0,Soft Tennis,WA,2002/2003
0,0,Boys,8911,319,Softball,WA,2002/2003
0,0,Boys,0,0,Softball -- Slow Pitch,WA,2002/2003
2742,137,Boys,4304,155,Swimming & Diving,WA,2002/2003
0,0,Boys,0,0,Synchronized Swimming,WA,2002/2003
0,0,Boys,0,0,Team Tennis,WA,2002/2003
4620,227,Boys,6927,240,Tennis,WA,2002/2003
0,0,Boys,0,0,Track and Field -- Indoor,WA,2002/2003
11326,346,Boys,9079,344,Track and Field,WA,2002/2003
0,0,Boys,10374,359,Volleyball,WA,2002/2003
0,0,Boys,0,0,Water Polo,WA,2002/2003
0,0,Boys,0,0,Weight Lifting,WA,2002/2003
7704,266,Boys,122,56,Wrestling,WA,2002/2003
0,0,Boys,0,0,Adapted Bowling,WI,2002/2003
0,0,Boys,0,0,Adapted Floor Hockey,WI,2002/2003
0,0,Boys,0,0,Adapted Soccer,WI,2002/2003
0,0,Boys,0,0,Adapted Softball,WI,2002/2003
0,0,Boys,0,0,Archery,WI,2002/2003
0,0,Boys,0,0,Badminton,WI,2002/2003
13522,449,Boys,0,0,Baseball,WI,2002/2003
15851,481,Boys,13474,475,Basketball,WI,2002/2003
0,0,Boys,0,0,Bowling,WI,2002/2003
0,0,Boys,0,0,Canoeing,WI,2002/2003
0,0,Boys,0,0,Competitive Spirit Squad,WI,2002/2003
0,0,Boys,0,0,Crew,WI,2002/2003
5222,379,Boys,4874,377,Cross Country,WI,2002/2003
0,0,Boys,0,0,Decathlon,WI,2002/2003
0,0,Boys,0,0,Equestrian,WI,2002/2003
0,0,Boys,0,0,Fencing,WI,2002/2003
0,0,Boys,0,0,Field Hockey,WI,2002/2003
0,0,Boys,0,0,Flag Football,WI,2002/2003
30548,430,Boys,0,0,Football,WI,2002/2003
0,0,Boys,0,0,Football -- 6-player,WI,2002/2003
0,0,Boys,0,0,Football -- 8-player,WI,2002/2003
0,0,Boys,0,0,Football -- 9-player,WI,2002/2003
7006,372,Boys,1547,136,Golf,WI,2002/2003
0,0,Boys,1327,94,Gymnastics,WI,2002/2003
0,0,Boys,0,0,Heptathlon,WI,2002/2003
1908,82,Boys,125,7,Ice Hockey,WI,2002/2003
0,0,Boys,0,0,Judo,WI,2002/2003
0,0,Boys,0,0,Lacrosse,WI,2002/2003
0,0,Boys,0,0,Native Youth Olympics,WI,2002/2003
0,0,Boys,0,0,Other 1:,WI,2002/2003
0,0,Boys,0,0,Other 2:,WI,2002/2003
0,0,Boys,0,0,Pentathlon,WI,2002/2003
0,0,Boys,0,0,Riflery,WI,2002/2003
0,0,Boys,0,0,Rodeo,WI,2002/2003
0,0,Boys,0,0,Rythmic Gymnastics,WI,2002/2003
0,0,Boys,0,0,Skiing -- Alpine,WI,2002/2003
0,0,Boys,0,0,Skiing -- Cross Country,WI,2002/2003
0,0,Boys,0,0,Snowboarding,WI,2002/2003
9086,235,Boys,8017,219,Soccer,WI,2002/2003
0,0,Boys,0,0,Soft Tennis,WI,2002/2003
0,0,Boys,12089,437,Softball,WI,2002/2003
0,0,Boys,0,0,Softball -- Slow Pitch,WI,2002/2003
2092,73,Boys,3798,133,Swimming & Diving,WI,2002/2003
0,0,Boys,0,0,Synchronized Swimming,WI,2002/2003
0,0,Boys,0,0,Team Tennis,WI,2002/2003
4112,194,Boys,5308,200,Tennis,WI,2002/2003
0,0,Boys,0,0,Track and Field -- Indoor,WI,2002/2003
13417,426,Boys,10905,423,Track and Field,WI,2002/2003
1374,46,Boys,16183,472,Volleyball,WI,2002/2003
0,0,Boys,0,0,Water Polo,WI,2002/2003
0,0,Boys,0,0,Weight Lifting,WI,2002/2003
7368,355,Boys,0,0,Wrestling,WI,2002/2003
0,0,Boys,0,0,Adapted Bowling,WV,2002/2003
0,0,Boys,0,0,Adapted Floor Hockey,WV,2002/2003
0,0,Boys,0,0,Adapted Soccer,WV,2002/2003
0,0,Boys,0,0,Adapted Softball,WV,2002/2003
0,0,Boys,0,0,Archery,WV,2002/2003
0,0,Boys,0,0,Badminton,WV,2002/2003
2908,125,Boys,0,0,Baseball,WV,2002/2003
3315,133,Boys,2437,131,Basketball,WV,2002/2003
6,1,Boys,6,1,Bowling,WV,2002/2003
0,0,Boys,0,0,Canoeing,WV,2002/2003
11,7,Boys,2236,122,Competitive Spirit Squad,WV,2002/2003
47,2,Boys,67,2,Crew,WV,2002/2003
728,77,Boys,648,74,Cross Country,WV,2002/2003
0,0,Boys,0,0,Decathlon,WV,2002/2003
0,0,Boys,0,0,Equestrian,WV,2002/2003
0,0,Boys,0,0,Fencing,WV,2002/2003
0,0,Boys,0,0,Field Hockey,WV,2002/2003
0,0,Boys,0,0,Flag Football,WV,2002/2003
6164,123,Boys,2,2,Football,WV,2002/2003
0,0,Boys,0,0,Football -- 6-player,WV,2002/2003
0,0,Boys,0,0,Football -- 8-player,WV,2002/2003
0,0,Boys,0,0,Football -- 9-player,WV,2002/2003
994,102,Boys,42,28,Golf,WV,2002/2003
0,0,Boys,0,0,Gymnastics,WV,2002/2003
0,0,Boys,0,0,Heptathlon,WV,2002/2003
0,0,Boys,0,0,Ice Hockey,WV,2002/2003
0,0,Boys,0,0,Judo,WV,2002/2003
105,2,Boys,87,2,Lacrosse,WV,2002/2003
0,0,Boys,0,0,Native Youth Olympics,WV,2002/2003
0,0,Boys,0,0,Other 1:,WV,2002/2003
0,0,Boys,0,0,Other 2:,WV,2002/2003
0,0,Boys,0,0,Pentathlon,WV,2002/2003
0,0,Boys,0,0,Riflery,WV,2002/2003
0,0,Boys,0,0,Rodeo,WV,2002/2003
0,0,Boys,0,0,Rythmic Gymnastics,WV,2002/2003
0,0,Boys,0,0,Skiing -- Alpine,WV,2002/2003
0,0,Boys,0,0,Skiing -- Cross Country,WV,2002/2003
0,0,Boys,0,0,Snowboarding,WV,2002/2003
1560,63,Boys,1443,67,Soccer,WV,2002/2003
0,0,Boys,0,0,Soft Tennis,WV,2002/2003
0,0,Boys,2476,118,Softball,WV,2002/2003
0,0,Boys,0,0,Softball -- Slow Pitch,WV,2002/2003
302,35,Boys,564,36,Swimming & Diving,WV,2002/2003
0,0,Boys,0,0,Synchronized Swimming,WV,2002/2003
0,0,Boys,0,0,Team Tennis,WV,2002/2003
764,77,Boys,919,78,Tennis,WV,2002/2003
0,0,Boys,0,0,Track and Field -- Indoor,WV,2002/2003
2540,104,Boys,2185,103,Track and Field,WV,2002/2003
0,0,Boys,2142,101,Volleyball,WV,2002/2003
0,0,Boys,0,0,Water Polo,WV,2002/2003
0,0,Boys,0,0,Weight Lifting,WV,2002/2003
1456,80,Boys,37,11,Wrestling,WV,2002/2003
0,0,Boys,0,0,Adapted Bowling,WY,2002/2003
0,0,Boys,0,0,Adapted Floor Hockey,WY,2002/2003
0,0,Boys,0,0,Adapted Soccer,WY,2002/2003
0,0,Boys,0,0,Adapted Softball,WY,2002/2003
0,0,Boys,0,0,Archery,WY,2002/2003
0,0,Boys,0,0,Badminton,WY,2002/2003
0,0,Boys,0,0,Baseball,WY,2002/2003
1782,70,Boys,1597,70,Basketball,WY,2002/2003
0,0,Boys,0,0,Bowling,WY,2002/2003
0,0,Boys,0,0,Canoeing,WY,2002/2003
40,11,Boys,486,39,Competitive Spirit Squad,WY,2002/2003
0,0,Boys,0,0,Crew,WY,2002/2003
357,38,Boys,273,33,Cross Country,WY,2002/2003
0,0,Boys,0,0,Decathlon,WY,2002/2003
0,0,Boys,0,0,Equestrian,WY,2002/2003
0,0,Boys,0,0,Fencing,WY,2002/2003
0,0,Boys,0,0,Field Hockey,WY,2002/2003
0,0,Boys,0,0,Flag Football,WY,2002/2003
2787,63,Boys,0,0,Football,WY,2002/2003
0,0,Boys,0,0,Football -- 6-player,WY,2002/2003
0,0,Boys,0,0,Football -- 8-player,WY,2002/2003
0,0,Boys,0,0,Football -- 9-player,WY,2002/2003
641,44,Boys,187,36,Golf,WY,2002/2003
0,0,Boys,94,8,Gymnastics,WY,2002/2003
0,0,Boys,0,0,Heptathlon,WY,2002/2003
0,0,Boys,0,0,Ice Hockey,WY,2002/2003
0,0,Boys,0,0,Judo,WY,2002/2003
0,0,Boys,0,0,Lacrosse,WY,2002/2003
0,0,Boys,0,0,Native Youth Olympics,WY,2002/2003
0,0,Boys,0,0,Other 1:,WY,2002/2003
0,0,Boys,0,0,Other 2:,WY,2002/2003
0,0,Boys,0,0,Pentathlon,WY,2002/2003
0,0,Boys,0,0,Riflery,WY,2002/2003
0,0,Boys,0,0,Rodeo,WY,2002/2003
0,0,Boys,0,0,Rythmic Gymnastics,WY,2002/2003
81,7,Boys,49,6,Skiing -- Alpine,WY,2002/2003
106,8,Boys,110,8,Skiing -- Cross Country,WY,2002/2003
0,0,Boys,0,0,Snowboarding,WY,2002/2003
669,18,Boys,547,17,Soccer,WY,2002/2003
0,0,Boys,0,0,Soft Tennis,WY,2002/2003
0,0,Boys,0,0,Softball,WY,2002/2003
0,0,Boys,0,0,Softball -- Slow Pitch,WY,2002/2003
427,24,Boys,583,26,Swimming & Diving,WY,2002/2003
0,0,Boys,0,0,Synchronized Swimming,WY,2002/2003
0,0,Boys,0,0,Team Tennis,WY,2002/2003
269,16,Boys,315,16,Tennis,WY,2002/2003
202,12,Boys,188,12,Track and Field -- Indoor,WY,2002/2003
1482,70,Boys,1379,69,Track and Field,WY,2002/2003
0,0,Boys,1713,66,Volleyball,WY,2002/2003
0,0,Boys,0,0,Water Polo,WY,2002/2003
0,0,Boys,0,0,Weight Lifting,WY,2002/2003
1054,60,Boys,0,0,Wrestling,WY,2002/2003
0,0,Boys,0,0,Adapted Bowling,AK,2003/2004
0,0,Boys,0,0,Adapted Floor Hockey,AK,2003/2004
0,0,Boys,0,0,Adapted Soccer,AK,2003/2004
0,0,Boys,0,0,Adapted Softball,AK,2003/2004
0,0,Boys,0,0,Archery,AK,2003/2004
19,1,Boys,0,0,Badminton,AK,2003/2004
537,20,Boys,7,2,Baseball,AK,2003/2004
2184,137,Boys,1840,128,Basketball,AK,2003/2004
78,6,Boys,59,6,Bowling,AK,2003/2004
0,0,Boys,0,0,Canoeing,AK,2003/2004
45,11,Boys,471,29,Competitive Spirit Squad,AK,2003/2004
0,0,Boys,0,0,Crew,AK,2003/2004
915,100,Boys,778,85,Cross Country,AK,2003/2004
0,0,Boys,0,0,Decathlon,AK,2003/2004
0,0,Boys,0,0,Equestrian,AK,2003/2004
0,0,Boys,0,0,Fencing,AK,2003/2004
0,0,Boys,0,0,Field Hockey,AK,2003/2004
0,0,Boys,0,0,Flag Football,AK,2003/2004
1554,23,Boys,13,5,Football,AK,2003/2004
0,0,Boys,0,0,Football -- 6-player,AK,2003/2004
0,0,Boys,0,0,Football -- 8-player,AK,2003/2004
0,0,Boys,0,0,Football -- 9-player,AK,2003/2004
0,0,Boys,0,0,Golf,AK,2003/2004
64,4,Boys,82,6,Gymnastics,AK,2003/2004
0,0,Boys,0,0,Heptathlon,AK,2003/2004
580,20,Boys,100,16,Ice Hockey,AK,2003/2004
0,0,Boys,0,0,Judo,AK,2003/2004
0,0,Boys,0,0,Lacrosse,AK,2003/2004
0,0,Boys,0,0,Native Youth Olympics,AK,2003/2004
275,45,Boys,303,45,Other 1:,AK,2003/2004
0,0,Boys,0,0,Other 2:,AK,2003/2004
0,0,Boys,0,0,Pentathlon,AK,2003/2004
144,9,Boys,72,8,Riflery,AK,2003/2004
0,0,Boys,0,0,Rodeo,AK,2003/2004
0,0,Boys,0,0,Rythmic Gymnastics,AK,2003/2004
0,0,Boys,0,0,Skiing -- Alpine,AK,2003/2004
399,32,Boys,373,28,Skiing -- Cross Country,AK,2003/2004
0,0,Boys,0,0,Snowboarding,AK,2003/2004
779,26,Boys,863,26,Soccer,AK,2003/2004
0,0,Boys,0,0,Soft Tennis,AK,2003/2004
11,2,Boys,584,23,Softball,AK,2003/2004
0,0,Boys,0,0,Softball -- Slow Pitch,AK,2003/2004
314,27,Boys,484,27,Swimming & Diving,AK,2003/2004
0,0,Boys,0,0,Synchronized Swimming,AK,2003/2004
0,0,Boys,0,0,Team Tennis,AK,2003/2004
162,7,Boys,166,7,Tennis,AK,2003/2004
0,0,Boys,0,0,Track and Field -- Indoor,AK,2003/2004
998,41,Boys,764,40,Track and Field,AK,2003/2004
298,52,Boys,1529,72,Volleyball,AK,2003/2004
0,0,Boys,0,0,Water Polo,AK,2003/2004
0,0,Boys,0,0,Weight Lifting,AK,2003/2004
1056,73,Boys,85,33,Wrestling,AK,2003/2004
0,0,Boys,0,0,Adapted Bowling,AL,2003/2004
0,0,Boys,0,0,Adapted Floor Hockey,AL,2003/2004
0,0,Boys,0,0,Adapted Soccer,AL,2003/2004
0,0,Boys,0,0,Adapted Softball,AL,2003/2004
0,0,Boys,0,0,Archery,AL,2003/2004
0,0,Boys,0,0,Badminton,AL,2003/2004
8943,388,Boys,0,0,Baseball,AL,2003/2004
11526,400,Boys,5358,399,Basketball,AL,2003/2004
0,0,Boys,0,0,Bowling,AL,2003/2004
0,0,Boys,0,0,Canoeing,AL,2003/2004
0,0,Boys,0,0,Competitive Spirit Squad,AL,2003/2004
0,0,Boys,0,0,Crew,AL,2003/2004
923,128,Boys,787,108,Cross Country,AL,2003/2004
36,18,Boys,0,0,Decathlon,AL,2003/2004
0,0,Boys,0,0,Equestrian,AL,2003/2004
0,0,Boys,0,0,Fencing,AL,2003/2004
0,0,Boys,0,0,Field Hockey,AL,2003/2004
0,0,Boys,0,0,Flag Football,AL,2003/2004
21301,369,Boys,0,0,Football,AL,2003/2004
0,0,Boys,0,0,Football -- 6-player,AL,2003/2004
0,0,Boys,0,0,Football -- 8-player,AL,2003/2004
0,0,Boys,0,0,Football -- 9-player,AL,2003/2004
1205,254,Boys,454,152,Golf,AL,2003/2004
0,0,Boys,0,0,Gymnastics,AL,2003/2004
0,0,Boys,50,22,Heptathlon,AL,2003/2004
0,0,Boys,0,0,Ice Hockey,AL,2003/2004
0,0,Boys,0,0,Judo,AL,2003/2004
0,0,Boys,0,0,Lacrosse,AL,2003/2004
0,0,Boys,0,0,Native Youth Olympics,AL,2003/2004
0,0,Boys,0,0,Other 1:,AL,2003/2004
0,0,Boys,0,0,Other 2:,AL,2003/2004
0,0,Boys,0,0,Pentathlon,AL,2003/2004
0,0,Boys,0,0,Riflery,AL,2003/2004
0,0,Boys,0,0,Rodeo,AL,2003/2004
0,0,Boys,0,0,Rythmic Gymnastics,AL,2003/2004
0,0,Boys,0,0,Skiing -- Alpine,AL,2003/2004
0,0,Boys,0,0,Skiing -- Cross Country,AL,2003/2004
0,0,Boys,0,0,Snowboarding,AL,2003/2004
3301,132,Boys,2897,113,Soccer,AL,2003/2004
0,0,Boys,0,0,Soft Tennis,AL,2003/2004
0,0,Boys,6016,376,Softball,AL,2003/2004
0,0,Boys,0,0,Softball -- Slow Pitch,AL,2003/2004
297,39,Boys,300,35,Swimming & Diving,AL,2003/2004
0,0,Boys,0,0,Synchronized Swimming,AL,2003/2004
0,0,Boys,0,0,Team Tennis,AL,2003/2004
1480,142,Boys,1549,152,Tennis,AL,2003/2004
578,45,Boys,409,40,Track and Field -- Indoor,AL,2003/2004
6275,294,Boys,4350,288,Track and Field,AL,2003/2004
0,0,Boys,5037,325,Volleyball,AL,2003/2004
0,0,Boys,0,0,Water Polo,AL,2003/2004
0,0,Boys,0,0,Weight Lifting,AL,2003/2004
1747,72,Boys,0,0,Wrestling,AL,2003/2004
0,0,Boys,0,0,Adapted Bowling,AR,2003/2004
0,0,Boys,0,0,Adapted Floor Hockey,AR,2003/2004
0,0,Boys,0,0,Adapted Soccer,AR,2003/2004
0,0,Boys,0,0,Adapted Softball,AR,2003/2004
0,0,Boys,0,0,Archery,AR,2003/2004
0,0,Boys,0,0,Badminton,AR,2003/2004
3672,212,Boys,34,0,Baseball,AR,2003/2004
4941,234,Boys,4043,231,Basketball,AR,2003/2004
164,0,Boys,0,0,Bowling,AR,2003/2004
0,0,Boys,0,0,Canoeing,AR,2003/2004
66,0,Boys,1318,60,Competitive Spirit Squad,AR,2003/2004
0,0,Boys,0,0,Crew,AR,2003/2004
558,56,Boys,468,56,Cross Country,AR,2003/2004
52,0,Boys,0,0,Decathlon,AR,2003/2004
0,0,Boys,0,0,Equestrian,AR,2003/2004
0,0,Boys,0,0,Fencing,AR,2003/2004
0,0,Boys,0,0,Field Hockey,AR,2003/2004
0,0,Boys,0,0,Flag Football,AR,2003/2004
7917,139,Boys,3,0,Football,AR,2003/2004
90,0,Boys,0,0,Football -- 6-player,AR,2003/2004
0,0,Boys,0,0,Football -- 8-player,AR,2003/2004
0,0,Boys,0,0,Football -- 9-player,AR,2003/2004
1057,139,Boys,366,76,Golf,AR,2003/2004
21,0,Boys,139,6,Gymnastics,AR,2003/2004
0,0,Boys,23,0,Heptathlon,AR,2003/2004
0,0,Boys,0,0,Ice Hockey,AR,2003/2004
0,0,Boys,0,0,Judo,AR,2003/2004
0,0,Boys,0,0,Lacrosse,AR,2003/2004
0,0,Boys,0,0,Native Youth Olympics,AR,2003/2004
0,0,Boys,0,0,Other 1:,AR,2003/2004
0,0,Boys,0,0,Other 2:,AR,2003/2004
0,0,Boys,0,0,Pentathlon,AR,2003/2004
29,0,Boys,0,0,Riflery,AR,2003/2004
6,0,Boys,10,0,Rodeo,AR,2003/2004
0,0,Boys,0,0,Rythmic Gymnastics,AR,2003/2004
0,0,Boys,0,0,Skiing -- Alpine,AR,2003/2004
0,0,Boys,0,0,Skiing -- Cross Country,AR,2003/2004
0,0,Boys,0,0,Snowboarding,AR,2003/2004
996,39,Boys,769,36,Soccer,AR,2003/2004
0,0,Boys,0,0,Soft Tennis,AR,2003/2004
43,0,Boys,3147,84,Softball,AR,2003/2004
0,0,Boys,27,0,Softball -- Slow Pitch,AR,2003/2004
109,14,Boys,153,28,Swimming & Diving,AR,2003/2004
0,0,Boys,0,0,Synchronized Swimming,AR,2003/2004
0,0,Boys,0,0,Team Tennis,AR,2003/2004
573,71,Boys,573,66,Tennis,AR,2003/2004
608,0,Boys,390,0,Track and Field -- Indoor,AR,2003/2004
3583,160,Boys,2443,153,Track and Field,AR,2003/2004
0,0,Boys,1615,63,Volleyball,AR,2003/2004
0,0,Boys,0,0,Water Polo,AR,2003/2004
942,0,Boys,69,0,Weight Lifting,AR,2003/2004
0,0,Boys,0,0,Wrestling,AR,2003/2004
0,0,Boys,0,0,Adapted Bowling,AZ,2003/2004
0,0,Boys,0,0,Adapted Floor Hockey,AZ,2003/2004
0,0,Boys,0,0,Adapted Soccer,AZ,2003/2004
0,0,Boys,0,0,Adapted Softball,AZ,2003/2004
0,0,Boys,0,0,Archery,AZ,2003/2004
0,0,Boys,832,43,Badminton,AZ,2003/2004
7535,205,Boys,27,10,Baseball,AZ,2003/2004
7520,224,Boys,6160,214,Basketball,AZ,2003/2004
0,0,Boys,0,0,Bowling,AZ,2003/2004
0,0,Boys,0,0,Canoeing,AZ,2003/2004
100,40,Boys,3539,115,Competitive Spirit Squad,AZ,2003/2004
0,0,Boys,0,0,Crew,AZ,2003/2004
2267,161,Boys,1827,157,Cross Country,AZ,2003/2004
0,0,Boys,0,0,Decathlon,AZ,2003/2004
0,0,Boys,0,0,Equestrian,AZ,2003/2004
0,0,Boys,0,0,Fencing,AZ,2003/2004
0,0,Boys,0,0,Field Hockey,AZ,2003/2004
0,0,Boys,0,0,Flag Football,AZ,2003/2004
15878,176,Boys,35,16,Football,AZ,2003/2004
0,0,Boys,0,0,Football -- 6-player,AZ,2003/2004
596,23,Boys,2,1,Football -- 8-player,AZ,2003/2004
0,0,Boys,0,0,Football -- 9-player,AZ,2003/2004
1768,161,Boys,752,113,Golf,AZ,2003/2004
0,0,Boys,0,0,Gymnastics,AZ,2003/2004
0,0,Boys,0,0,Heptathlon,AZ,2003/2004
0,0,Boys,0,0,Ice Hockey,AZ,2003/2004
0,0,Boys,0,0,Judo,AZ,2003/2004
0,0,Boys,0,0,Lacrosse,AZ,2003/2004
0,0,Boys,0,0,Native Youth Olympics,AZ,2003/2004
0,0,Boys,0,0,Other 1:,AZ,2003/2004
0,0,Boys,0,0,Other 2:,AZ,2003/2004
0,0,Boys,0,0,Pentathlon,AZ,2003/2004
0,0,Boys,0,0,Riflery,AZ,2003/2004
0,0,Boys,0,0,Rodeo,AZ,2003/2004
0,0,Boys,0,0,Rythmic Gymnastics,AZ,2003/2004
0,0,Boys,0,0,Skiing -- Alpine,AZ,2003/2004
0,0,Boys,0,0,Skiing -- Cross Country,AZ,2003/2004
0,0,Boys,0,0,Snowboarding,AZ,2003/2004
4968,157,Boys,4368,151,Soccer,AZ,2003/2004
0,0,Boys,0,0,Soft Tennis,AZ,2003/2004
0,0,Boys,6172,201,Softball,AZ,2003/2004
0,0,Boys,0,0,Softball -- Slow Pitch,AZ,2003/2004
1659,96,Boys,2477,97,Swimming & Diving,AZ,2003/2004
0,0,Boys,0,0,Synchronized Swimming,AZ,2003/2004
0,0,Boys,0,0,Team Tennis,AZ,2003/2004
1739,130,Boys,2190,133,Tennis,AZ,2003/2004
0,0,Boys,0,0,Track and Field -- Indoor,AZ,2003/2004
6512,181,Boys,4683,180,Track and Field,AZ,2003/2004
1250,52,Boys,6483,223,Volleyball,AZ,2003/2004
0,0,Boys,0,0,Water Polo,AZ,2003/2004
0,0,Boys,0,0,Weight Lifting,AZ,2003/2004
4977,168,Boys,94,39,Wrestling,AZ,2003/2004
0,0,Boys,0,0,Adapted Bowling,CA,2003/2004
0,0,Boys,0,0,Adapted Floor Hockey,CA,2003/2004
0,0,Boys,0,0,Adapted Soccer,CA,2003/2004
0,0,Boys,0,0,Adapted Softball,CA,2003/2004
0,0,Boys,0,0,Archery,CA,2003/2004
3627,164,Boys,4929,187,Badminton,CA,2003/2004
41392,1132,Boys,662,38,Baseball,CA,2003/2004
41784,1225,Boys,33912,1160,Basketball,CA,2003/2004
174,9,Boys,54,6,Bowling,CA,2003/2004
6,1,Boys,14,1,Canoeing,CA,2003/2004
669,112,Boys,12921,411,Competitive Spirit Squad,CA,2003/2004
248,8,Boys,264,15,Crew,CA,2003/2004
20465,971,Boys,16618,932,Cross Country,CA,2003/2004
31,5,Boys,22,4,Decathlon,CA,2003/2004
6,1,Boys,40,3,Equestrian,CA,2003/2004
144,11,Boys,127,12,Fencing,CA,2003/2004
36,1,Boys,2170,63,Field Hockey,CA,2003/2004
0,0,Boys,0,0,Flag Football,CA,2003/2004
95504,987,Boys,236,94,Football,CA,2003/2004
96,2,Boys,3,1,Football -- 6-player,CA,2003/2004
1129,32,Boys,0,0,Football -- 8-player,CA,2003/2004
251,4,Boys,0,0,Football -- 9-player,CA,2003/2004
11764,759,Boys,5547,669,Golf,CA,2003/2004
91,7,Boys,859,46,Gymnastics,CA,2003/2004
0,0,Boys,11,1,Heptathlon,CA,2003/2004
31,2,Boys,0,0,Ice Hockey,CA,2003/2004
4,2,Boys,2,1,Judo,CA,2003/2004
2240,60,Boys,1834,55,Lacrosse,CA,2003/2004
0,0,Boys,0,0,Native Youth Olympics,CA,2003/2004
1103,59,Boys,726,58,Other 1:,CA,2003/2004
0,0,Boys,0,0,Other 2:,CA,2003/2004
0,0,Boys,0,0,Pentathlon,CA,2003/2004
56,8,Boys,40,6,Riflery,CA,2003/2004
0,0,Boys,0,0,Rodeo,CA,2003/2004
0,0,Boys,0,0,Rythmic Gymnastics,CA,2003/2004
366,27,Boys,190,27,Skiing -- Alpine,CA,2003/2004
48,5,Boys,32,5,Skiing -- Cross Country,CA,2003/2004
0,0,Boys,0,0,Snowboarding,CA,2003/2004
38501,1068,Boys,35380,1028,Soccer,CA,2003/2004
0,0,Boys,0,0,Soft Tennis,CA,2003/2004
863,37,Boys,29179,1002,Softball,CA,2003/2004
100,5,Boys,939,34,Softball -- Slow Pitch,CA,2003/2004
15731,709,Boys,23255,728,Swimming & Diving,CA,2003/2004
0,0,Boys,0,0,Synchronized Swimming,CA,2003/2004
0,0,Boys,0,0,Team Tennis,CA,2003/2004
16716,842,Boys,19496,878,Tennis,CA,2003/2004
0,0,Boys,0,0,Track and Field -- Indoor,CA,2003/2004
41349,978,Boys,34378,970,Track and Field,CA,2003/2004
12156,398,Boys,32756,1114,Volleyball,CA,2003/2004
11500,435,Boys,12185,446,Water Polo,CA,2003/2004
1920,18,Boys,487,10,Weight Lifting,CA,2003/2004
22007,731,Boys,957,269,Wrestling,CA,2003/2004
0,0,Boys,0,0,Adapted Bowling,CO,2003/2004
0,0,Boys,0,0,Adapted Floor Hockey,CO,2003/2004
0,0,Boys,0,0,Adapted Soccer,CO,2003/2004
0,0,Boys,0,0,Adapted Softball,CO,2003/2004
0,0,Boys,0,0,Archery,CO,2003/2004
0,0,Boys,0,0,Badminton,CO,2003/2004
8110,251,Boys,161,37,Baseball,CO,2003/2004
8464,313,Boys,7579,311,Basketball,CO,2003/2004
0,0,Boys,0,0,Bowling,CO,2003/2004
0,0,Boys,0,0,Canoeing,CO,2003/2004
164,41,Boys,5521,229,Competitive Spirit Squad,CO,2003/2004
0,0,Boys,0,0,Crew,CO,2003/2004
2909,200,Boys,2941,193,Cross Country,CO,2003/2004
0,0,Boys,0,0,Decathlon,CO,2003/2004
0,0,Boys,0,0,Equestrian,CO,2003/2004
0,0,Boys,0,0,Fencing,CO,2003/2004
0,0,Boys,479,15,Field Hockey,CO,2003/2004
0,0,Boys,0,0,Flag Football,CO,2003/2004
13445,213,Boys,16,0,Football,CO,2003/2004
227,17,Boys,0,0,Football -- 6-player,CO,2003/2004
480,42,Boys,0,0,Football -- 8-player,CO,2003/2004
0,0,Boys,0,0,Football -- 9-player,CO,2003/2004
2199,183,Boys,1280,132,Golf,CO,2003/2004
0,0,Boys,578,50,Gymnastics,CO,2003/2004
0,0,Boys,0,0,Heptathlon,CO,2003/2004
379,25,Boys,4,0,Ice Hockey,CO,2003/2004
0,0,Boys,0,0,Judo,CO,2003/2004
1925,37,Boys,1327,28,Lacrosse,CO,2003/2004
0,0,Boys,0,0,Native Youth Olympics,CO,2003/2004
0,0,Boys,0,0,Other 1:,CO,2003/2004
0,0,Boys,0,0,Other 2:,CO,2003/2004
0,0,Boys,0,0,Pentathlon,CO,2003/2004
0,0,Boys,0,0,Riflery,CO,2003/2004
0,0,Boys,0,0,Rodeo,CO,2003/2004
0,0,Boys,0,0,Rythmic Gymnastics,CO,2003/2004
150,15,Boys,150,15,Skiing -- Alpine,CO,2003/2004
206,15,Boys,150,17,Skiing -- Cross Country,CO,2003/2004
0,0,Boys,0,0,Snowboarding,CO,2003/2004
5624,163,Boys,5721,174,Soccer,CO,2003/2004
0,0,Boys,0,0,Soft Tennis,CO,2003/2004
0,0,Boys,3614,153,Softball,CO,2003/2004
